Model,Price
EXPLORERLIMITED,27554.83962264151
WRANGLERWILLYS,27540.40322580645
CR-VTOURING,27537.266362252663
EXPEDITION4WD,27513.09411764706
C-CLASSC300,27512.407699302817
XC70AWD,27510.88888888889
4RUNNERRWD,27505.89806678383
CHALLENGERSHAKER,27482.272727272728
METRIS,27450.0
GENESIS3.8L,27434.55769230769
CLACLA250,27427.061538461538
NVPV6,27396.428571428572
RX,27332.707503520418
QX562WD,27312.52857142857
EQUUSSIGNATURE,27278.792349726777
"1500SLT,",27251.78354002255
CL-CLASS2DR,27221.520833333332
SRXLUXURY,27194.743993698306
XFPREMIUM,27185.690476190477
EXPEDITIONXLT,27179.658692185007
MAXIMASL,27132.39285714286
F-350FX5,27086.53846153846
PACIFICATOURING-L,27079.109263657956
MDXAWD,27019.87483870968
S802015.5,27006.4375
C70INCSCRIPTION,26988.0
"SIENNASE,",26970.9375
MKC,26950.0
NV3500,26946.125
MAXIMASR,26938.572727272727
300PLATINUM,26927.88888888889
WRANGLERFREEDOM,26903.94827586207
ILXTECHNOLOGY,26896.954545454544
DURANGOAWD,26870.715037593985
1500HFE,26870.0
HIGHLANDERFWD,26824.065185185184
M-CLASSML,26822.88888888889
SEQUOIASR5,26816.910828025477
RDXAWD,26801.320866141734
XTERRAPRO-4X,26786.957746478874
TRAVERSELTZ,26771.027243589742
WRANGLERSAHARA,26753.70265486726
TACOMADOUBLE,26705.960975609756
RS44DR,26682.11111111111
MKZPREMIERE,26674.63953488372
TIGUANSPORT,26673.341463414636
DURANGOLIMITED,26654.118852459018
TUCSONNIGHT,26651.7
RAV4SE,26629.5859375
GLK-CLASSGLK350,26591.127534685165
NV,26533.483333333334
RDXFWD,26513.8013136289
"1500**7""",26495.0
WRANGLERALTITUDE,26473.5
ARMADASL,26464.06779661017
"1500SSV,",26458.5
OUTBACK3.6R,26434.964467005077
WRXLIMITED,26404.44776119403
V60T5,26404.270833333332
"SIENNAXLE,",26388.095909732016
SRXSTANDARD,26349.720930232557
5,26278.222794959907
OPTIMASXL,26259.491803278688
MURANOFWD,26250.85401459854
86SE,26237.0
IMPREZALIMITED,26101.640625
EDGESPORT,26081.239700374532
IMPALAPREMIER,26059.994263862332
QX564WD,26058.681159420288
RAV4,26015.79894179894
HARDTOP,26012.27397260274
QX30BASE,25999.846153846152
9-4XAWD,25999.0
TTSROADSTER,25999.0
CHARGERPURSUIT,25995.0
WRXCVT,25992.05309734513
TUCSONVALUE,25987.0
X535I,25985.0
CAMAROCONVERTIBLE,25972.050068587105
ZDXBASE,25895.0
COMPASS2017.5,25894.219512195123
124,25887.535714285714
Q50AWD,25869.391774891774
SUBURBANLS,25869.260869565216
PILOTSE,25859.28896103896
MUSTANGGT,25842.41279855791
SORENTOLIMITED,25826.785326086956
MKZBLACK,25818.25
TITANSINGLE,25800.916666666668
MKCFWD,25798.111545988257
TLXFWD,25784.743730407525
"1500EXPRESS,",25765.424784217015
ACADIAAWD,25669.23203285421
MKT3.7L,25665.32608695652
PACIFICATOURING,25604.5829846583
WRXMANUAL,25595.198230088496
X1XDRIVE35I,25582.385714285716
XK,25582.14285714286
370ZCOUPE,25501.427518427517
MKX2WD,25459.392592592594
"1500R/T,",25422.375
SEDONASX,25383.409638554218
SIENNAXLE,25380.696870925683
MKXAWD,25364.562002275314
FORESTER2.0XT,25332.05187319885
